"name"
"Siberian Federal University"
"SWAGLEVEL1000"
"Whisper"
"Zero"
"Gudang Garem"
"Triple3kills"
"CyberStorm"
"No nos ganen porfavor"
"."
"BEARSGAMING.G2a"
"GOBURRRrrr"
"DamageGaming"
"Circle Of Glory"
"AdoNis"
"Galo de Tenis da LOUD"
"Team Narvesaa"
"FlawlessFurionFarmers"
"SOPLINE POLICE"
"Team BDE"
"Agua da Cedae"
"Asterisk* "
"Silent Assassin"
"Team Dick Gaming"
"Los moticucos"
"Марсиане"
"Dark Seiya Gaming"
"Team Doggie"
"Finoccho lag center"
"Siberian eSports"
"No Cure"
"INSIDE YOU"
"RANDUMAS GAMING"
"MortemTeam"
"DCPDemons"
"UALEIKUMNIHAO"
"Team Unknown"
"Nice Try!"
"Ryanree Fanboys "
"Complete Nonsense"
"StackTraceBack"
"ryodan"
"25 To Life*"
"LINAJE GAMING [1]"
"Anubis"
"Boneca Inflavel"
"Insecta Esport"
"1 CREEP + 4 FEEDER"
"C's Better"
"Discreet Gaming~"
"Yonko"
"Exia No Cure"
"Bought WinRAR"
"shad0w agression"
"Insinia Quality"
"Vietnam Girls Junior"
"Forced Forty "
"Amnestic"
"GoStudy"
"Karat Patrol"
"Mexico"
"Nix Team"
"Team Qx"
"Free Rider"
"NaNoIiSuSi"
"CERBERUS"
"borster"
"IZVINI ZARANEE"
"CancriTeam"
"Benchwarmers"
"Cancer 119"
"SEVD"
"5Ghostfor1Throne"
"NoPudgeGaming"
"forZe eSports"
"Learn2Gank"
"PohenBahen"
"Team Sanity"
"WUDI"
"Heart Six"
"Power Rangers"
"Pivo Inside"
"Weebs"
"RESTE AVEC MOI"
"LGN.YUNGBOYSS"
"DivineSplit"
"APU YOUNG"
"BADUT GAMING"
"04kOBcKuE"
"Onslaught gaming"
"Logos over gaming"
"SELFMADE"
"Negei"
"Spades"
"ALL COME HERE"
"Aggressive 5"
"Dragon Spirit"
"Nolifer5"
"NIMA.Gods"
"Rise"
"Kobravex Gaming"
"Laba Laba Nehh"
"TERAS"
"Cyber Union"
"Sklad Kotiv"
"Level One"
"TIKAI GO"
"Mottex Cyber High"
"Hustlers"
"Ωmega Esports"
"Universitas Bunda Mulia"
"Team Below 0"
"Krupka winners"
"K so what?"
"Fourvia"
"Team Paradis3"
"TEAM CRUSADER GAMING"
"UNLEASHED GAMING"
"TSG-JZONE"
"VyaliePitoni"
"ILLUMINATI"
"Kill and Secure"
"Equation"
"Wild Lions"
"Popak"
"S O L I D U D E S "
"Fairy Dragons"
"TEAM FFF"
"UG"
"NGC"
"The Last Battle "
"focus arena  dota2"
"Patma Never Sleep"
"Fortress Gaming"
"Team.G_C"
"Lim ganteng"
"Сука Блять"
"DotA Mastery"
"RAM ESPORTS"
"ParadoxGaming"
"Mladi Palki"
"UIMC"
"Los minions"
"NVMV"
"Beth Harmon Disciples"
"BazaTeam"
"linger"
"Vzpoura Goliardu "
"SHANKS"
"爷们要战斗"
"NewTeamReal"
"Orange Gaming Team"
"Demise.Pro"
"Dame tus moneditas"
"NBH"
"Easy Challenge"
"Just Alwi"
"MAVERICK GAMBLER.simX"
"Moscow Gaming"
"Nemesis Gaming"
"Revolta"
"ghoul"
"Snakewingz"
"Vira Lata Caramelo"
"OBETH + 4BAJOS"
"Soaring Friends"
"Team Radinho"
"Komanda s voprosom"
"ТАРАКАНЫ"
"Duna Slayer"
"WikWik"
"Team United"
"Forest Raiders"
"FEED control"
"GameBid"
"asdqwerty"
"sky gaming"
"DotaEnjoyers"
"PallaDiuM"
"SK Dota"
"Кста-Сыглы"
"PeruvianFeeders"
"Osithok Gaming"
"Ku Klux Klan "
"Down South Sister Kissers"
"IRON TALON"
"XL"
"No Retreat Allowed"
"FTD Club b"
"Void Esports"
"team turbo"
"NFG Esports"
"Quantum Gaming"
"kladbishe_detey_daunov"
"Indonesia Hell Scream"
"TOXI RATS"
"Sweet*Honey*Bees"
"Alianza e-Sports"
"rei do picolé"
"PLDT-Smart Omega"
"royal gaming"
"NoChen"
"Mestnoe OPG"
"Midnight Terror!"
"Xtreme gaming"
"RIcked"
"Team 47"
"fix the trash"
"Sampoerna University"
"Resistance Gaming"
"ANOHA+4"
"Team Elementrix"
"Imperia GG"
"QUAXIMA"
"Orginality"
"mousesports"
"Black.Pearl"
"Team vitamin"
"DAv1 eSports"
"FTD club a"
"Team NirVanA"
"Mad Is On"
"123123"
"Krinjovniki"
"Desight"
"Team Aura"
"Dismay eSports"
"Ancient Will Die"
"KAE-Esports"
"P33+"
"CUTIEES SQUAD "
"TEAM KENANGAN"
"NoMother"
"DayDream"
"AMNESIA"
"Capcorn"
"iG.Vitality"
"EL COMANDO ANAL"
"LIHOVEJ GAMING"
"Fox-Spirit"
"Ice Dragon Gaming"
"winstrike32"
"RibikEpsilon"
"Monsters of Comeback"
"MTUCI"
"Afterwave"
"Ghost Low"
"Shinigami  Gaming"
"Kaba4ku"
"Major Creater"
"All engineers"
"Team Egoist"
"Fuzanglong"
"Pok Pok Coy"
"Team Ghost"
"7AVAGE"
"Onge Team"
"No BKB Gaming"
"Harmony"
"PapoReto"
"Party 5"
"Itembreaker"
"Inmortal Warriors Gaming "
"ROFL ESPORTS"
"TAKER+4"
"Never Say GG"
"Nesquick S Pivom"
"Cow Boys Sorati "
"POTEM SKUAT"
"Legion"
"2k Squad"
"Tangina Gaming"
"LOOKING FOR SPONSOR"
"Sekrit_Bodrosti_Kota_Borysa"
"we are hype"
"Jahodový kluci"
"TeamKicked"
"Bulgaria"
"Luceant in Gaming"
"Big God"
"Team TikTok"
"Ayouga.Gaming"
"Continuum"
"Golie & Smeshnie"
"Sevastopol Squad"
"PSGS"
"Folkford"
"cyxariki"
"Renewal"
"Extremist Dota 2"
"SbX"
"PLAYSSON STRONDANDO"
"V1dar Gaming"
"Team NGNL"
"Scrubs Getting Carried"
"NO ROSHAN"
"Yellow Shrek"
"DANCOK GAMING"
"-Night Hunters"
"Team Braveheart"
"botanical workshop"
"eSuka"
"Virgin Gaming"
"Elementary Gaming "
"Los timberos"
"Team Mystique"
"ToxiCity"
"Evolved"
"_Team Toast_"
"Arcane Witches "
"freaksdv"
"NoWyvern"
"Jayce.N.G"
"MurlocTeam"
"Buriza-do Kyanon"
"Silver Gaming"
"AlphaOmega"
"Boots of Travel"
"MOUZ"
"Womberers"
"Fantastic Gaming Dota Team"
"Unlucky"
"ZXCПЕРМЬ"
"SiberianStyle"
"Magic Believers"
"Team Again"
"Meet your reaper"
"papaya team"
"+5 -45"
"LAST DANCE"
"GetLost"
"Belarusian Grizzlies"
"Tampa-Bay Lighting"
"ABRAXAS."
"CHIMPANZES 1K"
"PENARI VILLAGER"
"No-Teletubbies"
"""Excellent Team"""
"CHN"
"DEHIGHEST.MGS"
"TOPTEAMINTHEGALAXY"
"UC Esport"
"Team Bibu"
"BackTrackBoys"
"黑豚"
"tuho"
"PT Cansada Rejects"
"Musketeers Royal"
"HONK"
"EnergyX"
"TEAM MARION JOLA"
"WARGANET.END"
"TURUNDA Esports"
"Forgotten Geniuses"
"Top Racing"
"Faceless Zone"
"M3PERD0NAS"
"King Of Rage"
"skeite"
"Only ASUS"
"Unities"
"LEYHORSE..."
"Bloodskal eSports"
"Syntax Error"
"Bend Over!"
"Australian Gaming Network Orange"
"Aggresive Child"
"numot fanboy"
"Wolfan"
"BRUNCHTIME"
"Iron Wheel"
"shizn9"
"SKARASTREL"
"Cid'9"
"EMACS"
"BITCHBUILD"
"Doki Doki"
"Pejuang Dota Badung"
"Kappa Indonesia"
"insinia"
"Main Sabun"
"The  Storm Spirit"
" Team Gmd"
"Львівські Іностранні Бойци"
"Execream"
"IRANDOTO"
"Holders of Ankh"
"7-8 Squad"
"Nima Elder"
"Omega eXtreme"
"FLIGHT 8"
"krol squad"
"Room310"
"Bisdako"
"No Brewmaster"
"A$AP"
"Unity Esports"
"you don't know us "
"SEAL POWER"
"1-877-LESSONS-4-KIDS"
"GhostmakerS"
"TEAM IFES"
"AngryReact"
"Kway Teow"
"teamteamteam"
"HardCore B"
"Out Darkness"
"Amkar Esports"
"DUOBAO.INT"
"Soymilk"
"AsghaR"
"eSuba"
"captain +4 "
"CityGaming"
"BlackBears"
"Ex Ecter"
"Anvorgrueza"
"Nomatterwhat"
"EHOME.immortal"
"St. Pudge Church"
"Generation of Ghouls"
"ELITEWOLVES"
"CB.Anthic"
"Digital Gaming"
"Linken's Sphere eSports"
"Falcon Black"
"Willow.Gaming"
"Lion E-Sports"
"Jaba.Pro"
"B-STARS"
"Revolt"
"ErasmusRoar"
"Team Lightning"
"The overbids"
"Blizzard Insidious of Norrath"
"UMAM Doto"
"KOD"
"Fire Dragoon"
"Good Game No Remorse"
"broken boys"
"warning e.sport"
"CubilGolden"
"WASTED POTENTIAL"
"TOXICOTIN"
"Team AD"
"RedzGaming"
"wok wok ceria"
"Divine Team"
"EXPO GAM1NG"
"Neechosee"
"CEJMA"
"BOSS ANDRE"
"G2 x iG"
"FlyToMoone"
"Team Reapers"
"Clowns and Whores"
"Chaos master"
"EverNova"
"AK-47"
"#PrayForLembang"
"name1111"
"Executioners v2"
"SA REJECTS"
"Disband Team"
"FACEIT.COM"
"LiveLife"
"KeyframeGaming"
"Hamsters"
"Team Spirt 2"
"LAST CHENS"
"the he"
"Redux"
"Goblin Legs"
"Nebula"
"The Teikou"
"Toilet Vel"
"Galaxy Racer Esports"
"GL"
"Team EnvyUS"
"Albatross Club"
"Earth Chan"
"Team Dark Angels"
"NEBULA "
"Kaykei Esports"
"WeWannaWinClan"
"HAPPY DAY'S"
"Brilliant."
"MoonLightPlayers"
"Fight me "
"OG.Young"
"Team ICONIC"
"STASYAN GAMING"
"Syrian Dream"
"Phoenix.BARBIEgenks"
"LDLC.com TM"
"Demolition Boys"
"friends"
"Heat Waves"
"RandomTeam "
"Death Before Defeat"
"SS TEAM"
"For-Xtream"
"Bounty hunters"
"Familiar`"
"IO Dota2"
"Javier Salto Qasi Arriba"
"Noobswith_Attitude"
"THE LAST WILD KINGDOM"
"Destino eSports"
"TEIKO"
"gik fanboy"
"Cronus"
"KARUHUN DOTO"
"The SuspYrya"
"YOSHIMOTO.DETONATOR"
"Seiya"
"grave's crew"
"bit"
"revenGe"
"YB Gaming"
"GGNTU GROZTEK"
"Vicious Gaming"
"MiTH.DotA2"
"1+1+1+1+1"
"BANANA"
"Komanda b"
"Cover Light Team"
"Kalmyk State University"
"歼星炮"
"Mugiwara"
"BocaJuniors"
"The One Pis!"
"TEAM eQuinox "
"Team RBK"
"Team VAGABOND"
"帝光teiko"
"420 BlazeD"
"OutGaming"
"KHAN"
"Team Clones"
"Strong Chin Choppa"
"Topf Voll Titten"
"SS Darvin Beckham"
"Dazzle Family"
"No Rage e-Sports"
"TRocket"
"rajesh hamal"
"Team HighGround"
"tatladderclan"
"MoskovskShkolaSambo"
"eKeepo"
"Crranos 2 Rusia"
"5Eagles"
"Tilted"
"CrocodileS"
"Love Me "
"Innovation E-Sports"
"Legends Of Dota"
"Noxium"
"Dota Hero"
"Pepega Hunter"
"VEHEMENCIA ARMY"
"Team Ybicanoooobov"
"Siberian Game"
"La Correntada"
"SAYANI"
"FrostFalconsGaming"
"Cyberñoños"
"Team Faith"
"sr. vaquita+4"
"BloodThirsty Bear"
"JusT DARK"
"NonameBoys"
"Sky To Fly"
"322bot's"
"Kanna Valley"
"DestructorGaming"
"QS"
"BAN"
"ДГТТ"
"pA.Ya"
"Asghar"
"Pollywogs"
"one million"
"Thunder"
"Black Roses"
"LAS AMIGUITAS DE NICOLAS"
"UB Warrior"
"Team Brave"
"Gunslinger Gaming"
"Old G"
"DDSR"
"Furia Jovem"
"A Kraken Make Jelly"
"le Classique"
"NEAR IS XERXES"
"The(Legends)"
"The Dream Makers"
"TOP G"
"PkCh+4"
"Epoch"
"Holy Knights"
"Topf voll Ott"
"sQreen's squad"
"Jungle Riot.Team"
"Focus Arena Dota2"
"Kamenshiki"
"Office"
"Team Blazer"
"NoTinker"
"Assassin'sGamers"
"SpeAmour"
"Treateam"
"Forest Gang"
"NoTricks"
"Usaha Karya"
"Vitality Warriors"
"canelitas :3"
"Respective Players"
"team Force"
"Tritz Gaming"
"Focus UN"
"SFX TEAM"
"Dark Knights"
"VESLO"
"Osi King"
"Sky Esports Gaming"
"CHEAKS CREW"
"Нам везёт - мы выигрываем"
"Take a Breath"
"Кефир в вагоне"
"Aghnia "
"centropen"
"Ez Team"
"STATUS GAMING "
"Московский Технический(им.Н.Э.Баумана)"
"IMPERIAL PRO GAMING eSports 1.0"
"Team Ni.Ra."
"DD0G"
"TEAM MIMUTANTI"
"Sense Gaming"
"kngiNA"
"Royal Obrero"
"Team Veteran"
"THE OUTSTANDING ZERO"
"darwashan"
"Fox tm .-."
"Rubick Mid"
"Kawaii Engineer"
"Battle Cry"
"STIGMA"
"T9"
"Pro Devils"
"Wasted Potential"
"def"
"Savvy-We Goin In Baby"
"Urban Spirit"
"DreamMemeTeam"
"Team Taivnaa"
"CN.REBORN"
"Execration.安博电竞"
"Wave"
"VEX E-Sports"
"trap777wag"
"theVerugaGOD"
"Kok-Chay Gaming"
"Blame Me"
"Team One !"
"Winning Gaming"
"Parni s Remza"
"Prelude"
"5 Dosa Besar"
"FROSTYZZY"
"Only_Farm"
"Outcasts"
"Don gato y su pandilla"
"Rocko Sport Gamin' "
"Furia"
"Luigit naulaa 2.0"
"Fluffy Annihilators"
"Energy Esports Dota 2"
"Emptiness"
"NamTakSujdeno"
"Toxic Tacos"
"ПГНИУ (Б)"
"FreeToPlay"
"NecroRaisers-"
"CrimeLoyD"
"PUSSYALERT TINGLINGLING"
"G4"
"Sammys Boys"
"CyberArena"
"Gamebred Esports"
"TSM"
"NO TERRORBLADE"
"Kawaii Five"
"Team Orca"
"Futurum Sideria Team"
"kobolds"
"VesteD"
"marijuana"
"NoImprove"
"Team NP"
"los aea "
"El Bachez"
"GholaK Gaming"
"Brave Fighter's"
"ASD"
"Beban Hidup"
"mYinsanity"
"Team RoflanEbalo"
"Team Pegasus"
"4Fun"
"FISSURE"
"CZECH KOALAS"
"NoT.Penguins"
"HEARTS"
"Eskeeere 11"
"ЕНАЙГМА"
"NoWisp"
"Ten Twenty"
"Biggest Egos NA"
"Click E-Sport"
"GRIN Esports"
"Nevermind"
"Universidad de Guayaquil"
" ROOONS"
"L.Conspiracy"
"may"
"X-Era"
"Quillabamba"
"Cyber Dogs"
"TEAM TARGARYEN"
"Benny + 4 "
"Not Found"
"Stereophonic"
"322 IS SO SHIT"
"Disastrous Gaming"
"VjlinkTeam"
"BAT Family"
"egoboys"
"Team Genius"
"Thunderstrike"
"Go Throne Please"
"Unique Nova"
"Niap Gnimag"
"Helmsphere"
"MEGA-LADA"
"One Million"
"RAVAGE."
"Team Kobolds"
"Silpo ESports"
"ВиАйПи[VIP]"
"Falcon eSports"
"team #"
"Crumb Cleaners"
"AoiKaidde"
"Viejitos Calientes 3.0 "
"ramzesfunclub"
"Raccoon Gangster"
"Night Raided"
"nonameplayers"
"ProxiMiniTY"
"ClubF6"
"Team Ossizial"
"FUTURE CLUB"
"_BULLSHIT_"
"TEAM [R]Born"
"Straight to Business"
"Mavis Esport"
"4 vs 6"
"Team MistikA"
"BTS KRUTO"
"betting0ds"
"SG e-sports"
"Greki_shreki"
"Just Tea,"
"Team Osmium"
"KOREAN TRAVMOTOLOGS"
"FRACTURE"
"One By One"
"Cool Keppa Kleb"
"SEARCHING RICE"
"random5"
"ECC_Thunder Ratz "
"Among Us"
"Athanasia"
"Knights Young"
"Team Majestic"
"BINUS"
"MYMY"
"Farhad Gameing Center"
"ReckoninG.Infinity"
"Eyes Esport"
"Divergent"
"Wojtek"
"noteam"
"SEA REJECTS"
"New World"
"CR1 Stratos"
"Team Random"
"LeClassique 2.0"
"CNB e-Sports"
"MVP Black Phoenix"
"The Dark Pandas"
"PBI REBORN"
"FATE Esports"
"NoMorphling"
"NEW SKY TEAM "
"NEO3 TORPEDO"
"Team Klee"
"S.P.Z"
"TOP DOG"
"Basado Gaming "
"OG"
"Funky Unicorns"
"Hokori"
"NOTILT"
"K4 GAMING"
"The Crying Boys"
"TEAM VENTURE"
"POKEMON HUNTER"
"kogarasumaru"
"TMNT"
"Guardiannet"
"DOTA MINUS"
"Dream Killer"
"InfinityVN"
"pepega gaming"
"afk party"
"Team Sprout"
"[ iNFiNitY ] GaminG"
"Eternity Havoc"
"U Mumba eSports"
"Lucky Team"
"Dota Geniuses"
"Ackchyually"
"Gorillaz Pride"
"DANU ASI"
"Coolguys"
"Afterwards"
"UNKNOWNGIRLS"
"SEIRIN"
"Avalon"
"Alpha Bottom G"
"White Dragons"
"Dark Siders"
"Mireski"
"The Oversight"
"NoMatthew"
"Team 3inOne"
"Dunkin Dinkies"
"Queens of Pain"
"Garlic Bread eSports"
"FryBoys Jr."
"Vengeance"
"Wings"
"Пельменная"
"Your Soul Is Mine"
"One Dream"
"Raging Apu"
"Photon Gaming"
"CHOKESPORT"
"Team Double downs"
"Royal"
"Young]Gaming"
"Band of Brothers"
"TLT"
"Elite Wolves"
"GORILLA"
"Ancient Defender Team 1"
"SERGY"
"h0pe"
"NA's Last Hope"
"Strong in Spirit"
"434N9 KPYT0"
"Red Raiders"
"Gengar"
"The Fail Stack"
"jingtu"
"C4 Reborn"
"Troublemakers"
"Crazy Whale Mushroom Stack - 3000"
"DoraDura"
"TzK"
"\/"
"Espiritu del Panda Sensual"
"На Лъчо Хората"
"Winning Not Everything"
"South Bambak"
" Tiltus.THROW"
"science fiction.id"
"Saints Pudges"
"1620 Kings"
"Rems Isekai Adventure"
"Legalize Potm"
"Team Chitoge -__-"
"Lumière d'Espoir"
"nvL"
